,Nom,Poste,Stats,Equipe,Age,Taille (m),Poids (kg),ID_equipes
55,Matthieu Voisin,Openside Flanker,"['May 16, 1996', '1.88m', '105kg']",CA Brive,29,1.88,105,12
56,Rahboni Warren-Vosayaco,No. 8,"['Sep 28, 1995', '1.89m', '101kg']",CA Brive,30,1.89,101,12
57,Thomas Zenon,Right Wing,"['Mar 4, 1999', '1.95m', '100kg']",CA Brive,26,1.95,100,12
0,Antoine Abraham,Loosehead Prop,"['May 1, 1995', '1.85m', '109kg']",Oyonnax Rugby,30,1.85,109,17
1,Bruce Alvarado,Inside Centre,"['Feb 13, 2003', '1.83m', '98kg']",Oyonnax Rugby,22,1.83,98,17
2,Phoenix Battye,No 4 Lock,"['Sep 28, 1990', '2.04m', '114kg']",Oyonnax Rugby,35,2.04,114,17
3,Thibault Berthaud,Loosehead Prop,"['Apr 12, 1997', '1.79m', '119kg']",Oyonnax Rugby,28,1.79,119,17
4,Martin Bogado,Left Wing,"['Apr 29, 1998', '1.91m', '97kg']",Oyonnax Rugby,27,1.91,97,17
5,Adrien Bordenave,Loosehead Prop,"['Jul 29, 1993', '1.86m', '116kg']",Oyonnax Rugby,32,1.86,116,17
6,Justin Bouraux,Fly Half,"['Jun 18, 2002', '1.83m', '78kg']",Oyonnax Rugby,23,1.83,78,17
8,Ethan Clusel,Fullback,"['Sep 14, 2003', '1.74m', '76kg']",Oyonnax Rugby,22,1.74,76,17
9,Antonin Corso,No 4 Lock,"['Apr 9, 2004', '1.90m', '103kg']",Oyonnax Rugby,21,1.90,103,17
11,Souleymane Coulibaly,Left Wing,"['Jan 21, 2002', '1.86m', '85kg']",Oyonnax Rugby,23,1.86,85,17
13,Yvan David,Scrum Half,"['Aug 19, 2002', '1.78m', '87kg']",Oyonnax Rugby,23,1.78,87,17
14,Vincent Debaty,Loosehead Prop,"['Oct 2, 1981', '1.91m', '127kg']",Oyonnax Rugby,44,1.91,127,17
15,Amedeo Di Pietro,Openside Flanker,"['Oct 13, 1993', '1.82m', '95kg']",Oyonnax Rugby,32,1.82,95,17
16,Teddy Durand,Hooker,"['Oct 14, 1999', '1.80m', '102kg']",Oyonnax Rugby,26,1.80,102,17
17,Joe El Abd,Blindside Flanker,"['Feb 23, 1980', '1.88m', '104kg']",Oyonnax Rugby,45,1.88,104,17
18,Hugo Fabregue,No 5 Lock,"['Sep 3, 1992', '1.92m', '116kg']",Oyonnax Rugby,33,1.92,116,17
19,Chris Farrell,Outside Centre,"['Mar 16, 1993', '1.91m', '110kg']",Oyonnax Rugby,32,1.91,110,17
20,Paul Gadea,Inside Centre,"['Nov 13, 2001', '1.83m', '85kg']",Oyonnax Rugby,24,1.83,85,17
21,Benjamin Geledan,Hooker,"['Apr 8, 1990', '1.87m', '104kg']",Oyonnax Rugby,35,1.87,104,17
22,Loic Godener,No. 8,"['Aug 13, 1995', '1.88m', '116kg']",Oyonnax Rugby,30,1.88,116,17
23,Rory Grice,No. 8,"['Apr 2, 1990', '1.90m', '108kg']",Oyonnax Rugby,35,1.90,108,17
24,Hugo Hermet,Scrum Half,"['Aug 2, 2001', '1.90m', '95kg']",Oyonnax Rugby,24,1.90,95,17
25,Zack Holmes,Fly Half,"['May 30, 1990', '1.75m', '84kg']",Oyonnax Rugby,35,1.75,84,17
26,Daniel Ikpefan,Right Wing,"['Oct 18, 1993', '1.85m', '92kg']",Oyonnax Rugby,32,1.85,92,17
27,Ewan Johnson,No 4 Lock,"['Jun 27, 1999', '2.03m', '120kg']",Oyonnax Rugby,26,2.03,120,17
28,Beka Kakabadze,Loosehead Prop,"['Sep 7, 1995', '1.81m', '110kg']",Oyonnax Rugby,30,1.81,110,17
29,Oliver Kebble,Loosehead Prop,"['Jun 18, 1992', '1.91m', '124kg']",Oyonnax Rugby,33,1.91,124,17
30,Kevin Kornath,Blindside Flanker,"['Dec 27, 1996', '1.96m', '110kg']",Oyonnax Rugby,29,1.96,110,17
31,Stephan Le Roux,No 5 Lock,"['Feb 25, 2000', '2.00m', '121kg']",Oyonnax Rugby,25,2.00,121,17
32,Victor Lebas,No 4 Lock,"['Jun 9, 1993', '1.93m', '110kg']",Oyonnax Rugby,32,1.93,110,17
33,Kevin Lebreton,No. 8,"['Jul 7, 1995', '1.78m', '94kg']",Oyonnax Rugby,30,1.78,94,17
34,Manuel Leindekar Virginio,No 4 Lock,"['Apr 23, 1997', '2.03m', '115kg']",Oyonnax Rugby,28,2.03,115,17
35,Vasil Lobzhanidze,Scrum Half,"['Oct 14, 1996', '1.75m', '78kg']",Oyonnax Rugby,29,1.75,78,17
37,Lucas Mensa,Outside Centre,"['May 24, 1996', '1.83m', '94kg']",Oyonnax Rugby,29,1.83,94,17
38,Antoine Miquel,Blindside Flanker,"['Jun 20, 1994', '1.92m', '103kg']",Oyonnax Rugby,31,1.92,103,17
39,Theo Nanette,Scrum Half,"['Jan 12, 1993', '1.80m', '80kg']",Oyonnax Rugby,32,1.80,80,17
40,Peniami Narisia,Openside Flanker,"['Jun 10, 1997', '1.81m', '95kg']",Oyonnax Rugby,28,1.81,95,17
41,David Odiase,Blindside Flanker,"['Jan 19, 2003', '1.89m', '112kg']",Oyonnax Rugby,22,1.89,112,17
42,Ali Oz,Tighthead Prop,"['Aug 28, 1995', '1.93m', '140kg']",Oyonnax Rugby,30,1.93,140,17
43,Wandrille Picault,Blindside Flanker,"['Oct 4, 1994', '1.85m', '98kg']",Oyonnax Rugby,31,1.85,98,17
44,Alexis Pisani,No 4 Lock,"['Oct 1, 2003', '1.78m', '84kg']",Oyonnax Rugby,22,1.78,84,17
45,Karim Qadiri,Left Wing,"['Feb 16, 1996', '1.89m', '99kg']",Oyonnax Rugby,29,1.89,99,17
46,Maëlan Rabut,Fullback,"['Aug 9, 1996', '1.94m', '92kg']",Oyonnax Rugby,29,1.94,92,17
47,Veresa Tuqovu Ramototabua,Outside Centre,"['Jun 12, 2000', '1.95m', '101kg']",Oyonnax Rugby,25,1.95,101,17
48,Jonathan Ruru,Scrum Half,"['Feb 2, 1993', '1.83m', '94kg']",Oyonnax Rugby,32,1.83,94,17
49,Maxime Salles,Right Wing,"['Mar 21, 1997', '1.83m', '95kg']",Oyonnax Rugby,28,1.83,95,17
50,Edward Sawailau,Left Wing,"['Apr 4, 1996', '1.82m', '102kg']",Oyonnax Rugby,29,1.82,102,17
51,Dewald Senekal,No. 8,"['Jan 12, 1981', '1.99m', '119kg']",Oyonnax Rugby,44,1.99,119,17
52,Chris Smith,Fly Half,"['Sep 9, 1994', '1.80m', '93kg']",Oyonnax Rugby,31,1.80,93,17
53,Gavin Stark,Fullback,"['Dec 18, 1995', '1.84m', '94kg']",Oyonnax Rugby,30,1.84,94,17
54,Darren Sweetnam,Right Wing,"['May 5, 1993', '1.81m', '105kg']",Oyonnax Rugby,32,1.81,105,17
55,Paulo Tafili,Tighthead Prop,"['Feb 15, 1996', '1.83m', '127kg']",Oyonnax Rugby,29,1.83,127,17
56,Afusipa Taumoepeau,Outside Centre,"['Jan 26, 1990', '1.84m', '100kg']",Oyonnax Rugby,35,1.84,100,17
57,Christopher Vaotoa,Tighthead Prop,"['Nov 16, 1996', '1.85m', '138kg']",Oyonnax Rugby,29,1.85,138,17
58,Cameron Wright,Scrum Half,"['Apr 20, 1994', '1.81m', '92kg']",Oyonnax Rugby,31,1.81,92,17
0,Esteban Abadie,Blindside Flanker,"['Dec 1, 1997', '1.88m', '100kg']",France,28,1.88,100,19
1,Dorian Aldegheri,Tighthead Prop,"['Aug 4, 1993', '1.80m', '119kg']",France,32,1.80,119,19
2,Gregory Alldritt,No. 8,"['Mar 23, 1997', '1.91m', '113kg']",France,28,1.91,113,19
3,Uini Atonio,Tighthead Prop,"['Mar 26, 1990', '1.96m', '145kg']",France,35,1.96,145,19
4,Theo Attissogbe,Fullback,"['Nov 19, 2004', '1.81m', '79kg']",France,21,1.81,79,19
5,Hugo Auradou,No 5 Lock,"['Jul 20, 2003', '2.00m', '100kg']",France,22,2.00,100,19
6,Cyril Baille,Loosehead Prop,"['Sep 15, 1993', '1.82m', '116kg']",France,32,1.82,116,19
7,Pierre-Louis Barassi,Outside Centre,"['Apr 22, 1998', '1.87m', '102kg']",France,27,1.87,102,19
8,Leo Barre,Fly Half,"['Aug 20, 2002', '1.89m', '89kg']",France,23,1.89,89,19
9,Giorgi Beria,Tighthead Prop,"['Nov 11, 1999', '1.75m', '108kg']",France,26,1.75,108,19
10,Louis Bielle-Biarrey,Left Wing,"['Jun 19, 2003', '1.84m', '79kg']",France,22,1.84,79,19
11,Paul Boudehent,Blindside Flanker,"['Nov 21, 1999', '1.92m', '99kg']",France,26,1.92,99,19
12,Joshua Brennan,No 5 Lock,"['Nov 28, 2001', '1.99m', '114kg']",France,24,1.99,114,19
13,Georges-Henri Colombe,Tighthead Prop,"['Apr 9, 1998', '1.93m', '142kg']",France,27,1.93,142,19
14,Francois Cros,Blindside Flanker,"['Mar 25, 1994', '1.90m', '107kg']",France,31,1.90,107,19
15,Nicolas Depoortere,Outside Centre,"['Jan 1, 2003', '1.93m', '87kg']",France,22,1.93,87,19
16,Gael Drean,Left Wing,"['Oct 22, 2000', '1.84m', '84kg']",France,25,1.84,84,19
17,Antoine Dupont,Scrum Half,"['Nov 15, 1996', '1.74m', '85kg']",France,29,1.74,85,19
18,Thibaud Flament,Blindside Flanker,"['Apr 29, 1997', '2.03m', '116kg']",France,28,2.03,116,19
19,Antoine Frisch,Inside Centre,"['Jun 1, 1996', '1.88m', '100kg']",France,29,1.88,100,19
20,Emilien Gailleton,Fullback,"['Jul 13, 2003', '1.85m', '89kg']",France,22,1.85,89,19
21,Fabien Galthié,Head Coach,"['Mar 20, 1969', '1.80m', '85kg']",France,56,1.80,85,19
22,Marko Gazzotti,Blindside Flanker,"['Sep 24, 2004', '1.92m', '107kg']",France,21,1.92,107,19
23,Jean-Baptiste Gros,Loosehead Prop,"['May 29, 1999', '1.95m', '110kg']",France,26,1.95,110,19
24,Mickael Guillard,No 5 Lock,"['Dec 10, 2000', '1.97m', '112kg']",France,25,1.97,112,19
25,Matthias Halagahu,No 4 Lock,"['Aug 15, 2001', '1.94m', '113kg']",France,24,1.94,113,19
26,Raphael Ibanez,Coach,"['Feb 17, 1973', '1.78m', '100kg']",France,52,1.78,100,19
27,Matthieu Jalibert,Fly Half,"['Nov 6, 1998', '1.84m', '84kg']",France,27,1.84,84,19
28,Oscar Jegou,Left Wing,"['May 31, 2003', '1.88m', '84kg']",France,22,1.88,84,19
29,Anthony Jelonch,No. 8,"['Jul 28, 1996', '1.93m', '105kg']",France,29,1.93,105,19
31,Maxime Lamothe,Hooker,"['Oct 3, 1998', '1.83m', '109kg']",France,27,1.83,109,19
32,Nolann Le Garrec,Scrum Half,"['May 14, 2002', '1.75m', '75kg']",France,23,1.75,75,19
33,Maxime Lucu,Scrum Half,"['Jan 12, 1993', '1.77m', '91kg']",France,32,1.77,91,19
34,Julien Marchand,Hooker,"['Oct 5, 1995', '1.81m', '108kg']",France,30,1.81,108,19
35,Peato Mauvaka,Hooker,"['Jan 10, 1997', '1.84m', '124kg']",France,28,1.84,124,19
36,Emmanuel Meafou,No 5 Lock,"['Jul 12, 1998', '2.03m', '140kg']",France,27,2.03,140,19
37,Yoram Moefana,Outside Centre,"['Jul 18, 2000', '1.82m', '97kg']",France,25,1.82,97,19
38,Noah Nene,Outside Centre,"['Oct 14, 2004', '1.87m', '95kg']",France,21,1.87,95,19
39,Romain Ntamack,Fly Half,"['May 1, 1999', '1.86m', '86kg']",France,26,1.86,86,19
40,Damian Penaud,Right Wing,"['Sep 25, 1996', '1.92m', '94kg']",France,29,1.92,94,19
41,Dany Priso,Loosehead Prop,"['Jan 2, 1994', '1.82m', '110kg']",France,31,1.82,110,19
42,Thomas Ramos,Fullback,"['Jul 23, 1995', '1.78m', '87kg']",France,30,1.78,87,19
43,Alexandre Roumat,No. 8,"['Jun 24, 1997', '1.98m', '105kg']",France,28,1.98,105,19
44,William Servat,Hooker,"['Sep 12, 1978', '1.83m', '103kg']",France,47,1.83,103,19
45,Rabah Slimani,Tighthead Prop,"['Oct 18, 1989', '1.78m', '118kg']",France,36,1.78,118,19
46,Romain Taofifenua,No 4 Lock,"['Sep 14, 1990', '2.03m', '135kg']",France,35,2.03,135,19
47,Gabin Villiere,Right Wing,"['Dec 13, 1995', '1.80m', '93kg']",France,30,1.80,93,19
0,Gregory Alldritt,No. 8,"['Mar 23, 1997', '1.91m', '113kg']",Stade Rochelais,28,1.91,113,11
2,Uini Atonio,Tighthead Prop,"['Mar 26, 1990', '1.96m', '145kg']",Stade Rochelais,35,1.96,145,11
3,Thomas Berjon,Scrum Half,"['Apr 12, 1998', '1.71m', '76kg']",Stade Rochelais,27,1.71,76,11
5,Nathan Bollengier,Fly Half,"['Jan 18, 2004', '1.79m', '82kg']",Stade Rochelais,21,1.79,82,11
6,Hoani Bosmorin,Fullback,"['Dec 27, 2004', '1.84m', '85kg']",Stade Rochelais,21,1.84,85,11
7,Levani Botia,Inside Centre,"['Apr 28, 1988', '1.82m', '103kg']",Stade Rochelais,37,1.82,103,11
8,Paul Boudehent,Blindside Flanker,"['Nov 21, 1999', '1.92m', '99kg']",Stade Rochelais,26,1.92,99,11
9,Pierre Bourgarit,Hooker,"['Sep 12, 1997', '1.84m', '105kg']",Stade Rochelais,28,1.84,105,11
11,Judicael Cancoriet,Blindside Flanker,"['Apr 25, 1996', '1.94m', '116kg']",Stade Rochelais,29,1.94,116,11
13,Georges-Henri Colombe,Tighthead Prop,"['Apr 9, 1998', '1.93m', '142kg']",Stade Rochelais,27,1.93,142,11
14,Jonathan Danty,Outside Centre,"['Oct 7, 1992', '1.81m', '110kg']",Stade Rochelais,33,1.81,110,11
15,Simeli Daunivucu,Fullback,"['Feb 12, 2005', '1.80m', '85kg']",Stade Rochelais,20,1.80,85,11
16,Ultan Dillane,No 5 Lock,"['Nov 9, 1993', '1.98m', '115kg']",Stade Rochelais,32,1.98,115,11
17,Kane Douglas,No 4 Lock,"['Jun 1, 1989', '2.02m', '119kg']",Stade Rochelais,36,2.02,119,11
18,Brice Dulin,Fullback,"['Apr 13, 1990', '1.76m', '82kg']",Stade Rochelais,35,1.76,82,11
19,Jules Favre,Inside Centre,"['Mar 22, 1999', '1.81m', '93kg']",Stade Rochelais,26,1.81,93,11
21,Matthias Haddad,Openside Flanker,"['Mar 10, 2001', '1.92m', '99kg']",Stade Rochelais,24,1.92,99,11
22,Antoine Hastoy,Fly Half,"['Jun 4, 1997', '1.80m', '86kg']",Stade Rochelais,28,1.80,86,11
23,Simon Huchet,No 5 Lock,"['Apr 7, 2004', '1.97m', '110kg']",Stade Rochelais,21,1.97,110,11
24,Oscar Jegou,Left Wing,"['May 31, 2003', '1.88m', '84kg']",Stade Rochelais,22,1.88,84,11
25,Alexandre Kaddouri,Tighthead Prop,"['Dec 12, 2003', '1.97m', '135kg']",Stade Rochelais,22,1.97,135,11
26,Charles Kante-Samba,No 5 Lock,"['Feb 8, 2005', '2.00m', '115kg']",Stade Rochelais,20,2.00,115,11
27,Tawera Kerr-Barlow,Scrum Half,"['Aug 15, 1990', '1.87m', '91kg']",Stade Rochelais,35,1.87,91,11
28,Aleksandze Kuntelia,Tighthead Prop,"['Jun 26, 2002', '1.98m', '135kg']",Stade Rochelais,23,1.98,135,11
30,Tolu Latu,Hooker,"['Feb 23, 1993', '1.78m', '118kg']",Stade Rochelais,32,1.78,118,11
31,Thomas Lavault,No 4 Lock,"['May 3, 1999', '1.98m', '105kg']",Stade Rochelais,26,1.98,105,11
32,Quentin Lespiaucq,Hooker,"['Feb 16, 1995', '1.80m', '102kg']",Stade Rochelais,30,1.80,102,11
34,Dillyn Leyds,Fly Half,"['Sep 12, 1992', '1.85m', '85kg']",Stade Rochelais,33,1.85,85,11
35,Jack Nowell,Right Wing,"['Apr 11, 1993', '1.81m', '98kg']",Stade Rochelais,32,1.81,98,11
36,Ronan O'Gara,Head Coach,"['Mar 7, 1977', '1.83m', '84kg']",Stade Rochelais,48,1.83,84,11
37,Thierry Paiva,Loosehead Prop,"['Nov 19, 1995', '1.84m', '115kg']",Stade Rochelais,30,1.84,115,11
38,Louis Penverne,Loosehead Prop,"['Feb 22, 2003', '1.87m', '103kg']",Stade Rochelais,22,1.87,103,11
39,Raymond Rhule,Right Wing,"['Nov 6, 1992', '1.80m', '92kg']",Stade Rochelais,33,1.80,92,11
41,Donnacha Ryan,No 5 Lock,"['Dec 11, 1983', '2.01m', '115kg']",Stade Rochelais,42,2.01,115,11
42,Joel Sclavi,Tighthead Prop,"['Jun 25, 1994', '1.90m', '144kg']",Stade Rochelais,31,1.90,144,11
43,Ulupano Seuteni,Inside Centre,"['Dec 9, 1993', '1.85m', '100kg']",Stade Rochelais,32,1.85,100,11
44,Will Skelton,No 5 Lock,"['May 3, 1992', '2.03m', '145kg']",Stade Rochelais,33,2.03,145,11
45,Karl Sorin,Loosehead Prop,"['Aug 7, 2003', '1.86m', '135kg']",Stade Rochelais,22,1.86,135,11
46,Gurthro Steenkamp,Loosehead Prop,"['Jun 12, 1981', '1.86m', '125kg']",Stade Rochelais,44,1.86,125,11
48,Teddy Thomas,Right Wing,"['Sep 18, 1993', '1.85m', '94kg']",Stade Rochelais,32,1.85,94,11
49,Suliasi Vunivalu,Right Wing,"['Nov 27, 1995', '1.92m', '99kg']",Stade Rochelais,30,1.92,99,11
50,Reda Wardi,Loosehead Prop,"['Aug 2, 1995', '1.85m', '110kg']",Stade Rochelais,30,1.85,110,11
51,Ihaia West,Fly Half,"['Jan 16, 1992', '1.75m', '84kg']",Stade Rochelais,33,1.75,84,11
0,Mathieu Acebes,Fullback,"['Aug 1, 1987', '1.82m', '90kg']",Biarritz Olympique PB,38,1.82,90,15
2,Johan Aliouat,No 4 Lock,"['Jan 22, 1993', '1.97m', '135kg']",Biarritz Olympique PB,32,1.97,135,15
4,Yohan Artru,Left Wing,"['May 31, 1992', '1.78m', '83kg']",Biarritz Olympique PB,33,1.78,83,15
5,Kerman Aurrekoetxea,Scrum Half,"['May 4, 2000', '1.77m', '78kg']",Biarritz Olympique PB,25,1.77,78,15
6,Steeve Barry,Scrum Half,"['Apr 18, 1991', '1.81m', '89kg']",Biarritz Olympique PB,34,1.81,89,15
7,Yohan Beheregaray,Hooker,"['May 29, 1996', '1.80m', '102kg']",Biarritz Olympique PB,29,1.80,102,15
9,Arthur Bonneval,Left Wing,"['May 31, 1995', '1.82m', '88kg']",Biarritz Olympique PB,30,1.82,88,15
10,Boris Bouhraoua,Head Coach,"['May 4, 1984', '1.70m', '67kg']",Biarritz Olympique PB,41,1.70,67,15
11,Gervais Cordin,Fullback,"['Dec 10, 1998', '1.72m', '73kg']",Biarritz Olympique PB,27,1.72,73,15
12,Andy Cramond,No 4 Lock,"['Apr 15, 1994', '1.96m', '111kg']",Biarritz Olympique PB,31,1.96,111,15
13,Sven D'Hooghe,No. 8,"['Mar 6, 1997', '2.01m', '110kg']",Biarritz Olympique PB,28,2.01,110,15
14,Masivesi Dakuwaqa,Outside Centre,"['Feb 14, 1994', '1.89m', '122kg']",Biarritz Olympique PB,31,1.89,122,15
15,Yann David,Outside Centre,"['Apr 15, 1988', '1.83m', '108kg']",Biarritz Olympique PB,37,1.83,108,15
16,Thomas Dolhagaray,Fly Half,"['May 21, 2000', '1.82m', '83kg']",Biarritz Olympique PB,25,1.82,83,15
17,Levi Douglas,No 4 Lock,"['Sep 1, 1995', '1.95m', '123kg']",Biarritz Olympique PB,30,1.95,123,15
18,Cornell du Preez,No. 8,"['Mar 23, 1991', '1.92m', '108kg']",Biarritz Olympique PB,34,1.92,108,15
19,Johnny Dyer,Blindside Flanker,"['Feb 6, 1992', '1.90m', '112kg']",Biarritz Olympique PB,33,1.90,112,15
20,Giorgi Dzmanashvili,Tighthead Prop,"['Jun 16, 2002', '1.86m', '122kg']",Biarritz Olympique PB,23,1.86,122,15
21,Zakaria El Fakir,Tighthead Prop,"['Jan 29, 1997', '1.80m', '112kg']",Biarritz Olympique PB,28,1.80,112,15
22,Antoine Erbani,Blindside Flanker,"['Feb 7, 1990', '1.92m', '106kg']",Biarritz Olympique PB,35,1.92,106,15
23,Piula Fa'asalele,No 5 Lock,"['Jan 22, 1988', '1.96m', '120kg']",Biarritz Olympique PB,37,1.96,120,15
24,Baptiste Fariscot,Fullback,"['Nov 15, 2001', '1.81m', '76kg']",Biarritz Olympique PB,24,1.81,76,15
25,Bastien Guillemin,Fullback,"['Sep 12, 1997', '1.85m', '90kg']",Biarritz Olympique PB,28,1.85,90,15
26,Thomas Hebert,Blindside Flanker,"['Feb 18, 2000', '1.78m', '92kg']",Biarritz Olympique PB,25,1.78,92,15
27,Aitor Hourcade,No. 8,"['Feb 13, 2001', '1.90m', '103kg']",Biarritz Olympique PB,24,1.90,103,15
28,Ekain Imaz,Loosehead Prop,"['Dec 7, 2002', '1.85m', '90kg']",Biarritz Olympique PB,23,1.85,90,15
29,Kylian Jaminet,Fly Half,"['Dec 28, 1995', '1.91m', '96kg']",Biarritz Olympique PB,30,1.91,96,15
30,Jessy Jegerlhener,Blindside Flanker,"['May 27, 1997', '1.90m', '97kg']",Biarritz Olympique PB,28,1.90,97,15
31,Jonathan Joseph,Outside Centre,"['May 21, 1991', '1.83m', '91kg']",Biarritz Olympique PB,34,1.83,91,15
32,Zach Kibirige,Left Wing,"['Oct 28, 1994', '1.79m', '83kg']",Biarritz Olympique PB,31,1.79,83,15
33,Mehdi Kourdes,Hooker,"['Mar 9, 2001', '1.92m', '141kg']",Biarritz Olympique PB,24,1.92,141,15
34,Tevita Kuridrani,Outside Centre,"['Mar 31, 1991', '1.92m', '102kg']",Biarritz Olympique PB,34,1.92,102,15
36,Brendan Lebrun,Hooker,"['Jan 22, 1998', '1.81m', '110kg']",Biarritz Olympique PB,27,1.81,110,15
37,Nafitalai Maafu,Openside Flanker,"['Jun 18, 1998', '2.01m', '110kg']",Biarritz Olympique PB,27,2.01,110,15
38,Clément Martinez,Hooker,"['Mar 14, 1996', '1.81m', '100kg']",Biarritz Olympique PB,29,1.81,100,15
40,Charlie Matthews,No 4 Lock,"['Jul 23, 1992', '2.01m', '120kg']",Biarritz Olympique PB,33,2.01,120,15
41,Robin McClintock,Outside Centre,"['Feb 1, 2002', '1.81m', '86kg']",Biarritz Olympique PB,23,1.81,86,15
43,Tyler Morgan,Outside Centre,"['Sep 11, 1995', '1.86m', '104kg']",Biarritz Olympique PB,30,1.86,104,15
44,Adrian Motoc,No 5 Lock,"['Jul 11, 1996', '1.97m', '114kg']",Biarritz Olympique PB,29,1.97,114,15
47,Giorgi Nutsubidze,Loosehead Prop,"['Nov 11, 1998', '1.78m', '116kg']",Biarritz Olympique PB,27,1.78,116,15
48,Pierre Pages,Scrum Half,"['May 16, 1990', '1.80m', '78kg']",Biarritz Olympique PB,35,1.80,78,15
49,Ilian Perraux,Fly Half,"['Apr 4, 1992', '1.83m', '88kg']",Biarritz Olympique PB,33,1.83,88,15
50,Alexandre Plantier,Left Wing,"['Dec 19, 1991', '1.80m', '110kg']",Biarritz Olympique PB,34,1.80,110,15
51,Brieuc Plessis-Couillaud,Outside Centre,"['Mar 19, 1994', '1.80m', '93kg']",Biarritz Olympique PB,31,1.80,93,15
52,Edgar Retiere,Fly Half,"['Jan 29, 2001', '1.75m', '81kg']",Biarritz Olympique PB,24,1.75,81,15
54,Enzo Selponi,Fly Half,"['Jun 16, 1993', '1.85m', '85kg']",Biarritz Olympique PB,32,1.85,85,15
55,Nodari Shengelia,Tighthead Prop,"['Aug 11, 2002', '1.92m', '127kg']",Biarritz Olympique PB,23,1.92,127,15
57,Killian Taofifenua,Hooker,"['Jul 20, 2000', '1.78m', '103kg']",Biarritz Olympique PB,25,1.78,103,15
58,Filimo Taofifenua,Blindside Flanker,"['Oct 15, 1993', '1.88m', '100kg']",Biarritz Olympique PB,32,1.88,100,15
60,Luka Tchelidze,Tighthead Prop,"['Aug 1, 2000', '1.81m', '130kg']",Biarritz Olympique PB,25,1.81,130,15
61,Luteru Tolai,Hooker,"['Jun 1, 1998', '1.79m', '119kg']",Biarritz Olympique PB,27,1.79,119,15
63,Solomone Tukuafu,Tighthead Prop,"['Sep 13, 1996', '1.86m', '132kg']",Biarritz Olympique PB,29,1.86,132,15
66,Francois Vergnaud,Inside Centre,"['Oct 8, 1997', '1.90m', '103kg']",Biarritz Olympique PB,28,1.90,103,15
